iter	MAE
0	73.7760066
1	73.72235463
2	73.65802092
3	73.59565991
4	73.53183936
5	73.4739235
6	73.41514308
7	73.35225093
8	73.28718268
9	73.22312022
10	73.16440138
11	73.10962548
12	73.05141512
13	72.9911468
14	72.92772556
15	72.86836208
16	72.81046687
17	72.74857439
18	72.68661566
19	72.62486837
20	72.57845216
21	72.51814439
22	72.45918241
23	72.39786988
24	72.33716618
25	72.27744813
26	72.2149218
27	72.16601852
28	72.11774877
29	72.05680091
30	71.99611186
31	71.93466776
32	71.87445239
33	71.81441842
34	71.75265097
35	71.69190046
36	71.6303866
37	71.56710968
38	71.50971854
39	71.44819368
40	71.38831282
41	71.33080809
42	71.26961553
43	71.20886002
44	71.15038788
45	71.0934424
46	71.03329475
47	70.97332307
48	70.92265456
49	70.86281358
50	70.8065095
51	70.74654246
52	70.68852735
53	70.62914214
54	70.57824785
55	70.52003042
56	70.46247689
57	70.41399685
58	70.35390547
59	70.29405159
60	70.23562375
61	70.1764538
62	70.11798096
63	70.06107794
64	70.01116697
65	69.95554508
66	69.89940437
67	69.84251289
68	69.78479609
69	69.72938731
70	69.67177584
71	69.61501174
72	69.55605995
73	69.49954789
74	69.44684461
75	69.38788506
76	69.33081401
77	69.27089559
78	69.2259195
79	69.16938274
80	69.11548863
81	69.05870685
82	68.99910648
83	68.94738739
84	68.89312396
85	68.83705651
86	68.77998525
87	68.72397876
88	68.66842059
89	68.61782484
90	68.56239269
91	68.50667317
92	68.45446724
93	68.3986883
94	68.34361771
95	68.2906505
96	68.23310246
97	68.17685626
98	68.12021297
99	68.06699279
100	68.01203215
101	67.95807127
102	67.90364546
103	67.84792525
104	67.79294359
105	67.73762
106	67.6838214
107	67.63232114
108	67.57967205
109	67.52637358
110	67.474595
111	67.42163427
112	67.36548862
113	67.31186848
114	67.26141251
115	67.20766511
116	67.16008732
117	67.10645729
118	67.05265891
119	67.00276279
120	66.95703314
121	66.90231724
122	66.84950135
123	66.79660828
124	66.74756317
125	66.69340282
126	66.64045841
127	66.5872126
128	66.53327041
129	66.48194584
130	66.42816775
131	66.37643777
132	66.3269366
133	66.27632881
134	66.22467194
135	66.17117251
136	66.11907245
137	66.06548612
138	66.01370446
139	65.96026348
140	65.90762225
141	65.85834288
142	65.80464996
143	65.75368219
