,,RMSE,MAE,R2
LightGBM,1 Hour Univariable Evaluation,25.096803515543048,18.131684250686217,0.9394212761414349
LightGBM,1 Hour Multivariable Evaluation,24.72483723414736,17.914405211638147,0.9412036750109569
LightGBM,12 Hours Univariable Evaluation,99.3621316658526,79.34790710136106,0.053958883219546006
LightGBM,168 Hours Evaluation,116.4469736017823,92.47532075474928,-0.5125153503327164
Catboost,1 Hour Univariable Evaluation,27.781704509311563,19.544919273581776,0.9257663055924862
Catboost,1 Hour Multivariable Evaluation,28.687289983480944,20.443631572255686,0.9208479174195581
Catboost,12 Hours Univariable Evaluation,82.35256860046896,66.28014207137814,0.3500522002375013
Catboost,168 Hours Evaluation,115.30407895888742,91.06250189772592,-0.474120749001288
