,epochs,layer_count,node_number,dropout,loss,rmse,val_loss,val_rmse
0,25,3,160,0.5,35.33701728820801,88.84088897705078,62.575252532958984,88.26779174804688
1,25,4,140,0.5,35.60352603912354,89.71929931640625,64.9789047241211,87.72488403320312
2,25,3,120,0.3,32.84145130157471,86.16580200195312,65.15309143066406,91.92605590820312
3,25,4,140,0.3,43.23457824707031,104.33673095703125,79.92900085449219,106.43940734863281
4,25,4,120,0.3,37.63821739196777,92.8750228881836,93.51325988769531,124.5958480834961
5,25,4,160,0.5,47.8098942565918,109.6755142211914,98.16572570800781,128.20310974121094
6,25,3,120,0.5,37.74758369445801,94.00853729248047,116.15547943115234,141.8563995361328
7,25,4,160,0.3,52.046575775146486,124.65704345703125,117.02178955078125,146.24510192871094
8,25,4,120,0.5,50.55943878173828,117.14462280273438,119.43938446044922,150.87705993652344
9,25,3,100,0.3,59.85123641967773,130.05133056640625,126.12203216552734,154.45216369628906
10,25,3,140,0.3,138.30525695800782,236.9154510498047,137.81129455566406,169.6920166015625
11,25,3,160,0.3,60.976356506347656,133.49456787109375,147.5932159423828,182.4081573486328
12,25,4,100,0.5,54.051875610351566,120.28972625732422,149.60186767578125,180.10804748535156
13,25,3,140,0.5,46.2177466583252,104.57213592529297,165.90614318847656,206.23233032226562
14,25,4,100,0.3,68.24662605285644,148.88998413085938,216.06494140625,259.13800048828125
15,25,3,100,0.5,397.04875030517576,767.5802612304688,226.7822723388672,273.4787902832031
