,epochs,layer_count,node_number,dropout,all_parameters_predicted,loss,rmse,val_loss,val_rmse
0,25,2,180,0.7,True,0.7054705820293352,3.5551958084106445,0.7975156581401825,4.198063850402832
1,25,2,160,0.3,True,0.7300058474516036,3.680022954940796,0.8038493204116821,4.392673969268799
2,25,2,160,0.7,True,0.7598155150129755,3.994846820831299,0.8161372947692871,4.0477375984191895
3,25,2,200,0.7,True,0.7020155093494085,3.5767581462860107,0.8266666257381439,4.1446213722229
4,25,2,220,0.3,True,0.658980878944693,3.126851797103882,0.829584778547287,3.8333520889282227
5,25,3,220,0.7,True,0.8525916293244158,4.646392345428467,0.8703812646865845,5.2334160804748535
6,25,2,220,0.7,True,0.7170649581091216,3.67202091217041,0.8767771887779235,4.173434734344482
7,25,2,180,0.3,True,0.6898881856250886,3.455869197845459,0.9257381653785706,5.257659435272217
8,25,3,200,0.7,True,0.8720661656976826,4.835741996765137,0.9336273419857025,5.8371148109436035
9,25,4,180,0.7,True,0.9003515674565156,4.6757659912109375,0.9522957134246827,5.624755382537842
10,25,3,180,0.7,True,0.9198927281744884,4.8766326904296875,0.9745686268806457,5.5705485343933105
11,25,4,220,0.3,True,0.9182419719085347,4.745413780212402,0.981637796163559,6.063246250152588
12,25,5,220,0.7,True,0.9305486898835541,5.024657726287842,0.9816877889633179,5.705156326293945
13,25,2,200,0.3,True,0.6554001861216951,3.203946113586426,0.9845526719093323,5.1201171875
14,25,5,200,0.3,True,0.9360872352878921,4.808834075927734,1.003780905008316,5.371383190155029
15,25,4,160,0.7,True,0.9380831612806579,4.925848960876465,1.008906099796295,5.430037975311279
16,25,4,200,0.7,True,0.9455464693583924,4.97368860244751,1.0094711542129517,5.849334239959717
17,25,3,200,0.3,True,0.7901686086845892,3.9991695880889893,1.0134143543243408,5.4637532234191895
18,25,4,180,0.3,True,0.890746365543479,4.554563045501709,1.0188756132125854,5.618821620941162
19,25,5,160,0.3,True,0.969611275473665,5.137933254241943,1.021273694038391,5.846191883087158
20,25,5,180,0.7,True,0.9684937321044803,5.100670337677002,1.021435604095459,5.682114124298096
21,25,4,160,0.3,True,0.9446799503723677,5.036196708679199,1.05932124376297,6.273860931396484
22,25,5,220,0.3,True,0.9581105387534701,4.989781856536865,1.0614044332504273,5.951143741607666
23,25,3,180,0.3,True,0.8221725978795801,4.421456813812256,1.0728486227989196,5.554332733154297
24,25,4,220,0.7,True,0.9408214214856689,4.9277496337890625,1.0753959536552429,6.143787860870361
25,25,5,200,0.7,True,1.030999995527107,5.6118550300598145,1.1315681147575378,6.005161285400391
26,25,5,180,0.3,True,1.0067805050261425,5.272992134094238,1.1475271248817445,6.887510776519775
27,25,5,160,0.7,True,0.9795691316217222,5.302209854125977,1.2034111523628235,6.078366756439209
28,25,3,160,0.3,True,0.8535200574111198,4.4499592781066895,1.2174078369140624,6.513772010803223
29,25,4,200,0.3,True,0.928385764013441,4.747115612030029,1.2377252650260926,7.161370754241943
30,25,3,220,0.3,True,0.7930012366904324,4.0347514152526855,1.250408979654312,7.115251541137695
31,25,3,160,0.7,True,0.8627841073205215,4.757339954376221,1.3082973384857177,8.30661392211914
