,epochs,layer_count,node_number,dropout,loss,rmse,val_loss,val_rmse
0,25,2,130,0.7,21.89572541421029,29.13998031616211,24.485950698852537,34.09305953979492
1,25,2,200,0.3,19.200577652365094,25.732744216918945,24.568122634887697,34.2512092590332
2,25,3,200,0.5,20.654014083703306,27.766468048095703,24.723935470581054,33.93367385864258
3,25,3,130,0.7,21.7773723676825,28.914905548095703,24.801231842041016,33.45571517944336
4,25,2,130,0.5,20.924404110127494,28.113351821899414,24.967791748046874,34.01406478881836
5,25,2,200,0.5,19.78017343616144,26.85952377319336,25.048913536071776,34.794334411621094
6,25,2,200,0.7,21.3601275760473,28.918825149536133,25.07081596374512,33.82862091064453
7,25,2,100,0.5,22.13189145929454,29.579675674438477,25.081366424560546,34.88377380371094
8,25,4,160,0.5,22.102505844449112,29.69635772705078,25.14641387939453,34.6523551940918
9,25,2,160,0.7,22.460211741734078,29.8710880279541,25.272686309814453,34.63713073730469
10,25,3,160,0.5,21.47799933100321,28.838645935058594,25.44208999633789,35.44656753540039
11,25,3,100,0.3,22.874424745267163,30.554506301879883,25.487221298217772,34.90342712402344
12,25,3,130,0.5,21.02909502273505,28.130615234375,25.53164447784424,34.33210372924805
13,25,3,100,0.7,21.58105537690312,29.10382652282715,25.636354064941408,35.13174819946289
14,25,3,130,0.3,20.438937353024222,27.05032730102539,25.712012252807618,34.929012298583984
15,25,2,100,0.3,23.183300045017155,30.74730682373047,25.749053497314453,35.080352783203125
16,25,2,130,0.3,21.577874854114846,28.82262420654297,25.787843856811524,34.90584182739258
17,25,2,100,0.7,23.63664373486642,31.592052459716797,25.926385765075683,35.26361846923828
18,25,4,200,0.3,22.91206914615414,30.962329864501953,25.950766296386718,35.74248123168945
19,25,3,100,0.5,20.768705568652088,28.01849937438965,25.99964874267578,35.3421516418457
20,25,3,200,0.7,21.440860291794355,28.832992553710938,26.088219680786132,36.10993957519531
21,25,4,200,0.7,21.607296564492835,29.462778091430664,26.09404541015625,35.55038833618164
22,25,3,160,0.7,21.95569115094974,29.303478240966797,26.151430473327636,35.641624450683594
23,25,4,100,0.3,23.487937318583878,31.42784881591797,26.178591423034668,35.288448333740234
24,25,3,200,0.3,20.71707422311746,27.399564743041992,26.225805702209474,35.77717208862305
25,25,2,160,0.5,19.97420298366118,26.930715560913086,26.26204490661621,36.33457565307617
26,25,4,130,0.5,21.21520913489592,29.161073684692383,26.324117736816405,35.66086959838867
27,25,4,100,0.5,23.020879373454147,30.894458770751953,26.789517860412598,36.08429718017578
28,25,4,200,0.5,21.68323909681265,29.29730987548828,27.023105926513672,36.8264045715332
29,25,4,130,0.3,22.17071275329093,29.899168014526367,27.081505241394044,36.56241989135742
30,25,3,160,0.3,23.69025861553166,31.785234451293945,27.217292175292968,36.734371185302734
31,25,4,100,0.7,24.129900784804587,32.154815673828125,27.856852798461915,37.7789192199707
32,25,4,130,0.7,23.371828563047984,31.400592803955078,27.920628967285158,37.607810974121094
33,25,2,160,0.3,19.893784446927476,27.103271484375,28.32542427062988,39.417030334472656
34,25,4,160,0.3,20.756862000043366,28.200483322143555,29.68688087463379,40.380615234375
35,25,4,160,0.7,26.692971990070447,36.24131393432617,30.974163208007813,41.104339599609375
