,epochs,layer_count,node_number,dropout,loss,rmse,val_loss,val_rmse
0,25,3,160,0.3,24.845056364257573,33.7340087890625,26.676975021362306,36.386173248291016
1,25,2,160,0.3,25.494295238866282,34.78977584838867,26.759470443725586,36.62021255493164
2,25,3,180,0.7,26.824999404007897,36.21492004394531,26.982514762878417,36.40911865234375
3,25,2,180,0.8,28.288882551500674,38.1499137878418,27.069026527404784,36.188385009765625
4,25,2,180,0.7,27.18292038450797,36.46715545654297,27.242571716308593,36.849945068359375
5,25,3,160,0.7,26.703194248990723,36.16001510620117,27.40986129760742,37.07448959350586
6,25,2,160,0.7,26.116151304751178,35.460845947265625,27.49341896057129,36.97409439086914
7,25,2,180,0.5,25.228306037756255,34.10862731933594,27.522308197021484,37.17505645751953
8,25,2,100,0.3,26.567663797063652,35.97123718261719,27.772507247924803,37.6563720703125
9,25,2,160,0.8,28.03441045122013,37.92033004760742,28.02875202178955,37.68891525268555
10,25,2,140,0.7,26.723766186539336,36.383056640625,28.09957920074463,37.855316162109375
11,25,3,140,0.3,25.36216211023955,34.92255783081055,28.102493705749513,37.78905487060547
12,25,3,140,0.6,29.15677474384314,38.98727035522461,28.160024490356445,37.84013748168945
13,25,3,100,0.7,28.34718923155705,38.36767578125,28.27769760131836,38.0894660949707
14,25,3,140,0.7,28.720045656771273,38.75092315673828,28.37912773132324,38.91856384277344
15,25,3,120,0.5,25.90691168476727,35.073951721191406,28.398542823791505,38.345279693603516
16,25,2,120,0.5,27.278567132480912,36.9868049621582,28.41729766845703,37.87873840332031
17,25,3,100,0.6,28.427894059395175,38.370933532714844,28.488486099243165,38.448299407958984
18,25,3,120,0.7,28.03214936425654,37.744232177734375,28.55696098327637,38.112571716308594
19,25,3,160,0.6,26.197131507523245,35.70054244995117,28.7509525680542,39.01121520996094
20,25,2,100,0.6,26.880776749104406,36.623809814453125,28.934041442871095,38.58384704589844
21,25,3,180,0.8,27.524914247443878,37.24016571044922,29.075184440612794,38.476078033447266
22,25,3,160,0.8,27.27722246784296,36.800636291503906,29.125298461914063,39.430816650390625
23,25,3,140,0.8,28.685618769808105,38.522979736328125,29.193312301635743,38.827266693115234
24,25,2,140,0.5,26.54493225703834,35.744747161865234,29.221089935302736,39.49298858642578
25,25,3,160,0.5,25.670540340402468,34.94440841674805,29.231305503845213,38.960350036621094
26,25,2,120,0.7,28.278159825664435,38.06134796142578,29.266139297485353,39.05754470825195
27,25,2,180,0.3,24.94104100919554,33.870445251464844,29.317945098876955,38.77104187011719
28,25,2,100,0.7,28.52688073754815,38.59397888183594,29.433251037597657,39.167720794677734
29,25,3,120,0.6,26.67946332225346,36.208526611328125,29.43380359649658,39.02164840698242
30,25,3,180,0.6,26.645483821271412,36.55455017089844,29.606642303466796,39.138736724853516
31,25,2,180,0.6,26.701515744928816,36.22698211669922,29.78717502593994,39.912776947021484
32,25,3,180,0.3,24.981158132624525,34.08488845825195,29.905944099426268,39.67692565917969
33,25,3,120,0.3,26.199037381081812,35.463985443115234,30.010097427368166,40.023597717285156
34,25,3,140,0.5,26.3435919745199,35.920928955078125,30.05355628967285,40.262657165527344
35,25,2,120,0.8,28.528030231541663,38.126705169677734,30.10882583618164,40.49066162109375
36,25,3,100,0.8,26.88427514324977,36.419071197509766,30.19591354370117,40.05643844604492
37,25,2,140,0.6,27.09924725079451,36.687042236328125,30.42687057495117,40.42473602294922
38,25,2,140,0.3,25.990223541433668,35.17403793334961,30.451139831542967,40.40330123901367
39,25,2,140,0.8,28.76729336486737,38.61826705932617,30.591119842529295,41.13554763793945
40,25,2,160,0.6,26.547788280883314,36.280120849609375,30.90799072265625,40.832618713378906
41,25,2,120,0.3,26.826512264995767,36.3936653137207,30.9163667678833,40.93251037597656
42,25,3,120,0.8,29.572557361146906,39.91663360595703,31.16480667114258,41.553348541259766
43,25,3,180,0.5,24.874289025393963,33.63622283935547,31.16806396484375,41.399044036865234
44,25,3,100,0.3,27.690697044861974,37.430816650390625,31.38750831604004,41.407379150390625
45,25,2,100,0.5,28.206888747269616,37.93680191040039,31.474306640625,42.2391242980957
46,25,2,100,0.8,30.380223245350557,40.728981018066406,32.46894302368164,43.798622131347656
47,25,3,100,0.5,29.94894817914997,40.09431457519531,32.72525634765625,43.458213806152344
48,25,2,160,0.5,26.164449871265706,35.19175720214844,33.457876739501955,43.411067962646484
49,25,2,120,0.6,28.054903090640646,37.94941711425781,33.60366569519043,44.45671844482422
