,epochs,layer_count,node_number,dropout,loss,rmse,val_loss,val_rmse
0,25,3,110,0.5,32.14790111541748,86.04718017578125,68.45521545410156,96.42221069335938
1,25,4,150,0.3,36.194722747802736,94.5014419555664,69.36326599121094,97.04415130615234
2,25,4,110,0.3,37.621333312988284,93.26239013671875,71.83438110351562,97.1445541381836
3,25,2,150,0.3,37.8669193649292,93.6161117553711,75.72257232666016,106.75785827636719
4,25,3,110,0.3,36.50475399017334,93.71160125732422,78.82704162597656,106.82661437988281
5,25,4,150,0.5,93.47158447265625,221.05006408691406,88.20066833496094,117.10432434082031
6,25,3,150,0.3,31.358659934997558,84.69788360595703,90.2402114868164,115.30531311035156
7,25,2,150,0.5,35.381411476135256,90.06678009033203,91.11359405517578,121.38184356689453
8,25,3,150,0.5,41.99702522277832,103.9808578491211,91.20838928222656,119.08168029785156
9,25,2,110,0.5,35.568145484924315,88.962646484375,99.95039367675781,129.02880859375
10,25,2,110,0.3,41.65816047668457,101.0750503540039,109.81389617919922,139.8543701171875
11,25,4,110,0.5,48.053799591064454,109.11677551269531,111.83403015136719,140.90904235839844
12,25,2,80,0.5,40.98183952331543,97.48238372802734,117.72203826904297,153.82765197753906
13,25,2,80,0.3,42.80564178466797,102.40552520751953,133.03562927246094,161.81338500976562
14,25,4,80,0.5,71.71027526855468,157.67665100097656,148.1660919189453,178.18910217285156
15,25,3,80,0.3,129.2640950012207,216.12562561035156,169.7135467529297,206.4439697265625
16,25,3,80,0.5,42.65467483520508,100.9226303100586,170.1288604736328,204.4642333984375
17,25,4,80,0.3,184.22581802368165,383.5624694824219,245.47642517089844,317.856201171875
