,epochs,layer_count,node_number,dropout,all_parameters_predicted,loss,rmse,val_loss,val_rmse
0,25,3,140,0.5,False,19.476024440158383,26.956077575683594,20.5590567779541,28.693044662475586
1,25,2,110,0.3,False,22.038071892702565,30.242441177368164,20.849774589538573,28.563814163208008
2,25,2,140,0.3,False,19.330485693079073,26.68158721923828,20.995972023010253,29.33499526977539
3,25,2,140,0.7,False,21.724761570564063,29.547016143798828,21.21511615753174,28.64334487915039
4,25,3,140,0.3,False,21.2898329602793,29.17023277282715,21.35480068206787,28.851194381713867
5,25,4,110,0.5,False,21.704045467203986,29.959674835205078,21.41935291290283,29.368581771850586
6,25,3,110,0.7,False,23.010498814255886,31.332918167114258,22.301156997680664,30.98113250732422
7,25,2,140,0.5,False,21.343305188039604,29.602296829223633,22.54211097717285,31.409221649169922
8,25,3,80,0.3,False,22.762009259183223,30.95450210571289,24.363683395385742,32.77758026123047
9,25,4,140,0.3,False,25.18109194026419,34.86788558959961,24.685885429382324,33.441280364990234
10,25,2,80,0.5,False,23.34400736252364,31.954092025756836,24.779323348999025,33.166744232177734
11,25,4,140,0.7,False,26.69341052303339,35.807106018066406,24.78494743347168,33.31663513183594
12,25,4,110,0.7,False,25.22271578740642,34.810646057128906,25.079210205078127,34.7281379699707
13,25,3,110,0.3,False,24.882431958039398,32.955196380615234,25.36607048034668,34.46366882324219
14,25,3,80,0.5,False,22.3223357749633,30.244216918945312,25.44430934906006,33.891082763671875
15,25,3,140,0.7,False,26.656523251749412,35.976749420166016,25.957859725952147,35.559837341308594
16,25,2,110,0.7,False,21.9682164852246,29.925809860229492,26.198582229614257,34.89681625366211
17,25,3,110,0.5,False,28.249907623133097,38.38148880004883,26.36439010620117,35.326412200927734
18,25,3,50,0.3,False,26.83698508594508,36.59830856323242,26.66409049987793,35.24688720703125
19,25,2,110,0.5,False,21.196604333904705,29.204442977905273,26.889520721435545,35.163795471191406
20,25,6,140,0.3,False,28.33529446936209,38.403072357177734,27.632772102355958,36.308380126953125
21,25,4,50,0.3,False,29.02756497776678,39.01931381225586,28.25018341064453,37.463478088378906
22,25,6,110,0.7,False,28.935301147796512,39.18269348144531,28.679218978881835,38.507896423339844
23,25,2,50,0.3,False,25.418912342263994,34.994197845458984,28.711532821655272,40.6656608581543
24,25,6,140,0.5,False,30.267661224207316,41.04698181152344,29.239885177612305,38.222103118896484
25,25,4,110,0.3,False,28.946354207215304,38.40070343017578,29.44695339202881,38.64375305175781
26,25,6,110,0.3,False,33.169939310091124,44.499996185302734,29.582968521118165,38.597496032714844
27,25,5,110,0.7,False,29.380699688219316,39.80293655395508,29.65223979949951,40.60018539428711
28,25,2,80,0.7,False,30.8571628481728,41.41630935668945,29.683712768554688,38.6732177734375
29,25,5,140,0.3,False,27.534436024792907,37.6584587097168,29.70655464172363,39.763038635253906
30,25,5,80,0.3,False,30.054877729033436,40.717926025390625,29.747495269775392,40.34755325317383
31,25,6,110,0.5,False,27.66730643367397,38.650699615478516,29.97867649078369,38.99873352050781
32,25,3,50,0.5,False,24.83954788148789,34.60060501098633,30.26033878326416,39.54916763305664
33,25,2,50,0.5,False,25.491537925651127,35.4920654296875,30.377183227539064,40.79909133911133
34,25,2,80,0.3,False,31.787155072408382,43.33442687988281,30.442614555358887,41.766963958740234
35,25,3,80,0.7,False,28.10906488929344,38.01356506347656,30.646342544555665,40.258209228515625
36,25,5,110,0.5,False,39.496792720483775,51.97023391723633,31.02277374267578,40.620853424072266
37,25,6,80,0.3,False,31.358533020315626,41.58903503417969,32.03058387756348,42.71879959106445
38,25,5,50,0.3,False,31.370712519617314,42.145748138427734,32.10039474487305,43.541221618652344
39,25,5,80,0.5,False,27.86738233085129,37.82493209838867,32.30472503662109,45.08149337768555
40,25,2,50,0.7,False,28.963334960740102,38.290931701660156,33.406651458740235,44.665000915527344
41,25,4,50,0.5,False,32.390869328152164,43.13132858276367,33.45021003723144,44.60832977294922
42,25,5,110,0.3,False,32.377088156893834,43.24539566040039,34.7452352142334,45.906402587890625
43,25,3,50,0.7,False,30.472745273585154,41.47187423706055,34.75213775634766,46.826904296875
44,25,6,80,0.5,False,34.5007625051797,45.47663116455078,35.15242706298828,46.84934997558594
45,25,6,50,0.3,False,28.493876868046886,37.96065902709961,35.93205169677734,47.000335693359375
46,25,5,50,0.5,False,35.4669490483569,47.73161315917969,36.14962631225586,49.705421447753906
47,25,5,140,0.5,False,29.315694813894886,39.521141052246094,36.18485275268554,49.38527297973633
48,25,6,50,0.5,False,30.63905788485785,41.128822326660156,36.235975952148436,47.76551818847656
49,25,4,80,0.3,False,42.974900096385014,57.11912155151367,38.26631523132324,51.498146057128906
50,25,4,140,0.5,False,28.364359486766187,38.03023910522461,39.61749710083008,52.45500183105469
51,25,4,80,0.5,False,32.187543377993485,43.12348556518555,39.94947570800781,51.951622009277344
52,25,5,50,0.7,False,32.4304430938168,43.00233459472656,41.41780380249023,54.09294128417969
53,25,6,140,0.7,False,29.941587356823998,40.20960998535156,43.24922172546387,56.27098083496094
54,25,5,80,0.7,False,37.458442377087984,49.17790985107422,47.34594909667969,61.895835876464844
55,25,4,80,0.7,False,37.19085285981291,48.395103454589844,47.45412322998047,62.10084915161133
56,25,6,80,0.7,False,34.87736477672976,46.390533447265625,47.73093841552734,62.14139175415039
57,25,5,140,0.7,False,36.415090669481444,47.800716400146484,50.09267623901367,64.28782653808594
58,25,4,50,0.7,False,75.69557065087795,100.83340454101562,54.081762161254886,69.79037475585938
59,25,6,50,0.7,False,32.39158762627092,43.342689514160156,59.976105194091794,76.3516616821289
